formula,compounds,cas,molar_weigth,tfp_k,Tb(K),Tc(K),Pc(bar),Vc(cm3/mol),zc,omega,tmin_K,tmax_K,cp_trange,cp_a0,cp_a1,cp_a2,cp_a3,cp_a4,cpig,cpliq,antoine_a,antoine_b,antoine_c,pvpmin_bar,tmin_k,pvpmax_bar,tmax_k
CBr2F2,dibromodifluoromethane,75-61-6,209.816,163.05,295.94,471.3,45.3,250,0.286,,100.0,1000.0,100.0-1000.0,2.476,0.036115,-5.67E-05,4.37E-08,-1.32E-11,77.02,,4.1878,1127.43,246.8,0.02,217.8,2,316.42
CCl3F,trichlorofluoromethane (R-11),75-69-4,137.368,162.69,296.81,471.1,44.72,248,0.283,0.195,50.0,1000.0,50.0-1000.0,2.09,0.03889,-6.08E-05,4.54E-08,-1.32E-11,78.09,121.8,4.00905,1043.313,236.95,0.02,218.98,2,317.57
C2HCl2F3,"1,1-dichloro-2,2,2-trifluoroethane (R-123)",306-83-2,152.931,166,300.81,456.9,36.74,278.05,0.269,0.282,50.0,1000.0,50.0-1000.0,2.996,0.03949,-2.74E-05,-1.22E-09,5.72E-12,102.6,,4.21161,1132.447,241.59,0.02,223.16,2,321.15
C5H12,2-methylbutane,78-78-4,72.15,113.26,300.99,460.39,33.81,308.3,0.272,0.229,200.0,1000.0,200.0-1000.0,1.959,0.038191,2.43E-05,-5.18E-08,2.17E-11,118.97,164.8,3.92023,1022.88,233.46,0.02,221.72,2,322.32
C2HCl2F3,"1,2-dichloro-1,2,2-trifluoroethane (R-123a)",354-23-4,152.931,195,301,461.7,,278,,,50.0,1000.0,50.0-1000.0,2.699,0.043299,-3.66E-05,6.97E-09,3.22E-12,104.45,,,,,,,,
C3H3F5,"1,1,2,2,3-pentafluoropropane (R-245ca)",679-86-7,134.05,191.2,301.2,447.6,,256.02,,0.353,,,,,,,,,,,,,,,,,
C3H3F5O,"2-(difluoromethoxy)-1,1,1-trifluoroethane  (E-245)",1885-48-9,150.05,,302.2,444,,291.02,,,,,,,,,,,,,,,,,,,
N2O4,dinitrogen tetroxide (nitrogen dioxide),10544-72-6,92.011,261.95,302.22,431.01,101,,,1.007,50.0,1000.0,50.0-1000.0,3.374,0.027257,-1.92E-05,-6.16E-09,8.59E-12,81.07,142.2,4.50989,1185.722,234.18,0.1,254.17,2,320.69
C5F12,dodecafluoropentane,678-26-2,288.036,263.15,302.35,422,20.4,383.1,0.272,0.415,200.0,1000.0,200.0-1000.0,2.315,0.123238,-0.00014997,8.88E-08,-2.08E-11,231.95,,,,,,,,
C5H10,1-pentene,109-67-1,70.134,106.95,303.11,464.8,35.6,298.4,0.275,0.237,200.0,1000.0,200.0-1000.0,5.079,0.011919,7.84E-05,-1.10E-07,4.38E-11,108.2,154,3.96914,1044.01,233.45,0.02,223.89,2,324.32
C4H4O,furan,110-00-9,68.075,187.54,304.44,490.15,55,218,0.281,,50.0,1000.0,50.0-1000.0,3.816,-0.010453,0.00012446,-1.69E-07,7.02E-11,65.4,114.64,4.1199,1070.2,830,0.02,228.2,2,324.56
C2H4O2,methyl methanoate (methyl formate),107-31-3,60.053,174.15,304.9,487.2,60,172,0.255,,298.0,1000.0,298.0-1000.0,2.277,0.018013,1.16E-05,-2.92E-08,1.34E-11,66.5,119.7,4.29529,1125.2,230.56,0.02,230.3,2,324.29
C3H9N,2-propanamine (methyl ethyl amine),75-31-0,59.111,177.95,304.93,471.8,45.4,221,0.256,0.277,50.0,1000.0,50.0-1000.0,3.633,0.022221,3.09E-05,-5.38E-08,2.24E-11,97.55,163.88,4.0553,1005.49,216.51,0.02,231.38,2,324.47
C2H3Cl2F,"1,1-dichloro-1-fluoroethane (R-141b)",1717-00-6,116.95,169.6,305.2,477.35,42.5,254,0.272,0.225,50.0,1000.0,50.0-1000.0,2.14,0.036934,-3.12E-05,9.27E-09,6.80E-13,88.37,,4.03117,1062.074,231.799,0.02,226.71,2,326.09
C4H10O,diethyl ether,60-29-7,74.123,156.86,307.59,466.7,36.4,280,0.263,0.281,100.0,1000.0,100.0-1000.0,4.612,0.037492,-1.87E-05,1.32E-08,-6.98E-12,119.46,172.6,4.10962,1090.64,231.2,0.02,229.71,2,328.31
C2H6S,ethanethiol,75-08-1,62.136,152.15,308.15,499,54.9,207,0.274,,50.0,1000.0,50.0-1000.0,3.894,0.012951,2.05E-05,-3.29E-08,1.31E-11,73.01,117.8,4.07696,1084.531,231.385,0.02,229.5,2,328.99
C5H12,pentane,109-66-0,72.15,143.43,309.22,469.7,33.7,311,0.268,0.252,200.0,1000.0,200.0-1000.0,7.554,-0.000368,0.00011846,-1.49E-07,5.75E-11,120.04,167.19,3.97786,1064.84,232.014,0.02,228.71,2,330.75
C5H10,cis-2-pentene,627-20-3,70.134,121.78,310.07,475,36.9,302.1,0.273,0.253,298.0,1000.0,298.0-1000.0,2.901,0.031785,1.84E-05,-3.95E-08,1.61E-11,108.87,151.8,3.96798,1052.44,228.693,0.02,229.4,2,331.46
C2H6S,2-thiapropane ,75-18-3,62.136,174.85,310.48,503,55.3,201,0.266,,273.0,1000.0,273.0-1000.0,3.535,0.01753,5.96E-06,-1.63E-08,6.96E-12,74.06,118.1,4.07369,1090.755,230.799,0.02,231.3,2,331.47
C2H5Br,bromoethane,74-96-4,108.966,154.55,311.5,503.8,62.3,214.9,,,100.0,1000.0,100.0-1000.0,3.636,0.006861,3.75E-05,-5.45E-08,2.23E-11,64.23,99.8,4.04485,1090.811,231.71,0.02,231.35,2,332.8
C5H10,2-methyl-2-butene,513-35-9,70.134,139.4,311.7,470,38.6,292,0.288,0.339,298.0,1000.0,298.0-1000.0,1.24,0.039303,2.70E-06,-2.50E-08,1.12E-11,105,152.8,4.09149,1124.33,236.63,0.02,230.69,2,333.14
CH2Cl2,dichloromethane,75-09-2,84.932,176,312.79,510,61,,,,200.0,1000.0,200.0-1000.0,2.71,0.011561,3.24E-06,-1.37E-08,6.62E-12,50.88,100,4.07622,1070.07,223.24,0.02,235.2,2,333.36
C5H8,1-pentyne,627-19-0,68.119,167.5,313.38,470,41.7,277,0.296,0.394,50.0,1000.0,50.0-1000.0,3.382,0.031688,7.90E-06,-3.11E-08,1.42E-11,106.69,167,4.0026,1068.1,227,0.02,233,2,334
BrF5,bromine pentafluoride,7789-30-2,174.896,212.65,314.31,470,,,,,,,,,,,,,,,4.39858,1219.28,236.4,0.02,236.8,2,334.31
C5H8,cyclopentene,142-29-0,68.119,138.05,317.35,506.5,48,245,0.279,,50.0,1000.0,50.0-1000.0,4.555,-0.012408,0.00015195,-1.97E-07,7.90E-11,81.25,122.4,,,,,,,
O3S,sulfur trioxide,11/9/7446,80.064,289.95,317.9,490.9,82.1,126.5,0.254,,50.0,1000.0,50.0-1000.0,3.426,0.006479,1.69E-05,-3.36E-08,1.59E-11,50.86,226.8,6.17575,1735.31,236.5,0.15,284.5,2,332.04
C3H7Cl,1-chloropropane,540-54-5,78.541,150.35,319.67,503.1,45.8,254,0.278,,200.0,1000.0,200.0-1000.0,4.365,0.009895,5.37E-05,-7.71E-08,3.12E-11,85.3,131,4.07655,1125.009,229.86,0.02,238.09,2,341.29
C3H9N,1-propanamine (propyl amine),107-10-8,59.111,188.35,320.38,497,48,235,0.273,0.283,50.0,1000.0,50.0-1000.0,4.142,0.012606,5.47E-05,-7.52E-08,2.92E-11,91.8,136.2,4.3444,1186.39,226.21,0.02,258.31,2,340.36
C2Cl3F3,"1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,187.375,236.95,320.74,487.4,33.78,325,0.274,0.249,50.0,1000.0,50.0-1000.0,2.133,0.063238,-8.92E-05,6.14E-08,-1.68E-11,121,,4.00134,1107.71,229.64,0.02,237.83,2,342.87
C5H10,cyclopentane,287-92-3,70.134,179.28,322.38,511.6,45.08,260,0.276,,50.0,1000.0,50.0-1000.0,5.019,-0.019734,0.00017917,-2.17E-07,8.22E-11,82.76,126.8,4.06783,1152.574,234.51,0.02,238.5,2,344.62
C3H2ClF5O,"1-chloro-2,2,2-trifluoroethyl difluoromethyl ether (isoflurane)",26675-46-7,184.493,,322.42,467.8,30.46,,,0.402,,,,,,,,,,,,,,,,,
C6H14,"2,2-dimethylbutane",75-83-2,86.177,173.33,322.87,488.7,30.8,359.1,0.272,0.233,200.0,1000.0,200.0-1000.0,3.007,0.039059,4.85E-05,-8.24E-08,3.37E-11,141.5,188.7,3.8959,1090.16,230.517,0.02,237.4,2,345.89
C2HBrClF3,"1-bromo-1-chloro-2,2,2-trifluoroethane",151-67-7,197.382,,323.32,492.2,38,302,0.28,0.283,,,,,,,,,,,4.20682,1199.262,235.29,0.02,240.92,2,344.91
F6U,uranium hexafluoride,7783-81-5,352.07,337,324.96,503.35,45.31,250,0.271,0.277,,,,,,,,,,,,,,,,,
C2HBrClF3,"1-bromo-2-chloro-1,1,2-trifluoroethane",354-06-3,197.382,,325.7,487.3,34.2,304,0.257,0.32,,,,,,,,,,,3.48366,841.141,189.3,0.02,246.15,2,348.14
C6H12,4-methylpent-1-ene,691-37-2,84.161,119.5,326.82,495,32.9,357.9,0.286,0.257,298.0,1000.0,298.0-1000.0,-1.326,0.065625,-3.56E-05,5.14E-09,1.76E-12,126.59,,3.96019,1121.302,229.687,0.02,241.6,2,349.9
C3H6O2,ethyl methanoate (ethyl formate),109-94-4,74.079,193.55,327.47,508.5,47.4,229,0.257,0.282,,,,,,,,,89,146.6,4.07899,1101,215.98,0.02,247.8,2,348.6
C4H11N,diethyl amine,109-89-7,73.138,223.35,328.6,496.6,37.1,301,0.27,0.291,298.0,1000.0,298.0-1000.0,3.028,0.032373,2.83E-05,-5.50E-08,2.30E-11,116,178.1,,,,,,,
C3H6O,acetone,67-64-1,58.08,178.5,329.22,508.1,47,209,0.233,0.307,200.0,1000.0,200.0-1000.0,5.126,0.001511,5.73E-05,-7.18E-08,2.73E-11,74.52,126.6,4.2184,1197.01,228.06,0.02,247.38,2,350.65
C6F14,tetradecafluorohexane,355-42-0,338.044,186.05,329.75,448.7,18.7,573.2,0.274,0.513,200.0,1000.0,200.0-1000.0,2.66,0.146733,-0.00018179,1.11E-07,-2.71E-11,273.99,,,,,,,,
C3H2ClF5O,"2-chloro-1,1,2-trifluoroethyl difluoromethyl ether ",13838-16-9,184.493,,329.98,475.03,29.8,,,0.43,,,,,,,,,,,,,,,,,
C3H6O2,methyl acetate,79-20-9,74.079,175.15,330.09,506.8,46.9,228,0.254,,298.0,1000.0,298.0-1000.0,4.242,0.014388,3.34E-05,-4.93E-08,1.93E-11,85.3,143.9,4.18621,1156.43,219.69,0.02,249.9,2,351.11
C2H4Cl2,"1,1-dichloroethane",75-34-3,98.959,176.19,330.45,523,51,236,0.277,,200.0,1000.0,200.0-1000.0,2.61,0.024853,-6.75E-06,-1.04E-08,6.43E-12,76.32,126.4,4.1678,1201.05,231.27,0.02,246.6,2,352.49
C6F14,tetradecafluoro-2-methylpentane,355-04-4,338.044,,330.75,453,18.2,550,0.266,,,,,,,,,,,,,,,,,,
C6H14,"2,3-dimethylbutane",79-29-8,86.177,144.35,331.12,499.9,31.3,357.6,0.269,0.248,200.0,1000.0,200.0-1000.0,-2.214,0.074352,-3.70E-05,2.73E-09,3.08E-12,139.41,188.66,3.93486,1127.4,228.966,0.02,244.2,2,354.43
C6F14,tetradecafluoro-3-methylpentane,865-71-4,338.044,158.15,331.55,450,16.9,531,0.24,,,,,,,,,,,,,,,,,,
Br2,bromine,7726-95-6,159.808,265.85,331.9,584.1,103,135,0.269,0.119,50.0,1000.0,50.0-1000.0,3.212,0.00716,-1.53E-05,1.45E-08,-4.99E-12,36.05,75.67,4.0027,1119.68,221.38,0.06,266,2,354.25
C6F14,"tetradecafluoro-2,3-dimethyl butane",354-96-1,338.044,258.15,332.95,463,18.7,528,0.255,,,,,,,,,,,,,,,,,,
C6H14,2-methylpentane,107-83-5,86.177,119.48,333.4,497.5,30.1,366.7,0.267,0.278,200.0,1000.0,200.0-1000.0,2.096,0.046419,3.12E-05,-6.83E-08,2.90E-11,142.21,193.93,3.98332,1145.8,227.815,0.02,246.9,2,356.5
CHCl3,trichloromethane,67-66-3,119.377,209.74,334.33,536.5,55,240,0.296,,200.0,1000.0,200.0-1000.0,2.389,0.026218,-3.15E-05,1.86E-08,-4.23E-12,65.4,113.8,3.96288,1106.904,218.552,0.02,250.1,2,356.89
C6H14,3-methylpentane,96-14-0,86.177,110.26,336.4,504.4,31.2,366.7,0.273,0.273,200.0,1000.0,200.0-1000.0,0.433,0.011143,7.30E-06,-1.61E-08,6.90E-12,140.1,190.66,3.99283,1162.37,228.286,0.02,249,2,359.72
C6H12,1-hexene,592-41-6,84.161,133.34,336.63,504,31.43,355.1,0.266,0.281,200.0,1000.0,200.0-1000.0,6.303,0.012352,0.00010258,-1.43E-07,5.71E-11,130.83,183.3,3.9826,1148.62,225.34,0.02,249.98,2,359.8
C5H12O,ethyl propyl ether,628-32-0,88.15,146.45,337.01,500.6,32.5,339,0.265,0.328,,,,,,,,,140,197.4,3.83648,1052.47,210.88,0.02,252.4,2,359.96
CH4O,methanol,67-56-1,32.042,175.49,337.69,512.64,80.97,118,0.224,0.565,50.0,1000.0,50.0-1000.0,4.714,-0.006986,4.21E-05,-4.44E-08,1.54E-11,44.06,81.08,5.20277,1580.08,239.5,0.02,262.59,2,356
C5H6O,2-methylfuran,534-22-5,82.102,178.87,337.87,527.85,47.2,246.4,0.255,0.278,50.0,1000.0,50.0-1000.0,3.952,0.005535,9.25E-05,-1.30E-07,5.35E-11,89.66,143.7,3.7041,991.2,203.29,0.02,253.3,2,361.13
C4H8O,tetrahydrofuran,109-99-9,72.107,164.61,339.12,540.2,51.9,224,0.259,,50.0,1000.0,50.0-1000.0,5.171,-0.019464,0.0001646,-2.04E-07,8.00E-11,76.53,124.1,4.12142,1203.11,226.355,0.02,253.5,2,361.71
C3H8S,2-thiabutane (methyl ethyl sulfide),624-89-5,76.163,167.24,339.8,533,42.6,260,0.25,,273.0,1000.0,273.0-1000.0,2.816,0.029186,8.07E-06,-2.89E-08,1.33E-11,95.06,144.6,4.06339,1182.562,224.784,0.02,253.5,2,362.68
C4H11N,2-methyl-1-propanamine (isobutyl amine),78-81-9,73.138,188.55,340.81,528.5,40.2,286,0.262,0.22,298.0,1000.0,298.0-1000.0,0.38,0.053027,-2.44E-05,2.07E-09,3.80E-13,117.09,194,3.9007,1055.56,203.35,0.02,258.31,2,363.04
C4H9Cl,2-chlorobutane,78-86-4,92.568,141.85,341.24,520.6,36.8,312,0.265,0.267,200.0,1000.0,200.0-1000.0,4.45,0.022285,4.35E-05,-7.22E-08,3.02E-11,110.22,,4.1222,1245.2,234.4,0.02,252.6,2,364.62
C6H14,hexane,110-54-3,86.177,177.84,341.88,507.6,30.25,368,0.264,0.3,200.0,1000.0,200.0-1000.0,8.831,-0.000166,0.00014302,-1.83E-07,7.12E-11,142.59,195.43,4.00139,1170.875,224.317,0.02,254.24,2,365.25
H2S2,dihydrogen disulfide,13465-07-1,66.148,183.35,344.25,572,59.1,150,0.186,,50.0,1000.0,50.0-1000.0,3.364,0.008093,6.36E-06,-1.99E-08,1.05E-11,49.21,92.74,4.055,1199,225,0.02,256,2,367.55
C6H12,methylcyclopentane,96-37-7,84.161,130.72,344.98,532.79,37.84,319,0.272,0.227,50.0,1000.0,50.0-1000.0,5.379,-0.008258,0.00017293,-2.16E-07,8.26E-11,109.5,158.7,4.18199,1295.543,238.39,0.02,255.06,2,368.58
C4H11N,1-butanamine (butyl amine),109-73-9,73.138,224.05,349.44,526.8,40.4,290,0.267,0.338,298.0,1000.0,298.0-1000.0,2.668,0.038366,1.15E-05,-3.82E-08,1.71E-11,113.9,294.3,4.3077,1276.87,220.52,0.02,265.2,2,371.32
C7F14,tetradecafluoromethylcyclohexane,355-02-2,350.055,228.45,349.45,485.91,20.19,570,0.285,,200.0,1000.0,200.0-1000.0,3.002,0.170245,-0.00021365,1.33E-07,-3.34E-11,316.03,,,,,,,,
CCl4,tetrachloromethane,56-23-5,153.822,250.33,349.79,556.3,45.57,276,0.271,,200.0,1000.0,200.0-1000.0,2.518,0.041882,-7.16E-05,5.74E-08,-1.76E-11,83.43,131.6,4.10445,1265.632,232.148,0.02,259,2,373.76
C4H8O2,ethyl acetate,141-78-6,88.106,189.55,350.21,523.2,38.3,286,0.252,0.361,298.0,1000.0,298.0-1000.0,10.228,-0.014948,0.00013033,-1.57E-07,6.00E-11,113.64,170.6,4.13361,1195.13,212.47,0.02,265.5,2,372.51
C2H6O,ethanol,64-17-5,46.069,159.05,351.8,513.92,61.48,167,0.24,0.649,50.0,1000.0,50.0-1000.0,4.396,0.000628,5.55E-05,-7.02E-08,2.69E-11,65.21,112.25,5.33675,1648.22,230.918,0.02,276.5,2,369.54
C7H16,"2,2-dimethylpentane",590-35-2,100.204,149.37,352.32,520.4,27.7,415.8,0.266,0.287,200.0,1000.0,200.0-1000.0,1.315,0.060462,2.81E-05,-7.62E-08,3.43E-11,166.7,221.2,3.94392,1191.959,223.498,0.02,260.9,2,376.84
C4H8O2,methyl propanoate,554-12-1,88.106,185.65,352.6,530.6,40,282,0.256,0.349,,,,,,,,,,,3.98745,1129.57,204.24,0.02,267.5,2,375.32
C4H8O,butanone (methyl ethyl ketone),78-93-3,72.107,186.51,352.71,536.8,42.1,267,0.252,0.322,200.0,1000.0,200.0-1000.0,6.349,0.011062,4.85E-05,-6.48E-08,2.47E-11,103.26,158.9,4.1386,1232.63,218.69,0.02,265.62,2,375.66
C6H6,benzene,71-43-2,78.114,278.68,353.24,562.05,48.95,256,0.268,0.21,50.0,1000.0,50.0-1000.0,3.551,-0.006184,0.00014365,-1.98E-07,8.23E-11,82.43,135.95,3.98523,1184.24,217.572,0.05,279.64,2,377.06
C5H10O,2-methyltetrahydrofuran,96-47-9,86.134,137.04,353.37,537,37.6,267,0.225,0.292,,,,,,,,,,,3.95009,1175.51,217.802,0.02,263.44,2,377.49
C6F6,hexafluorobenzene,392-56-3,186.056,,353.4,516.73,32.75,335,0.255,0.396,200.0,1000.0,200.0-1000.0,2.531,0.075268,-8.41E-05,4.85E-08,-1.17E-11,155.38,,,,,,,,
C7H16,"2,4-dimethylpentane",108-08-7,100.204,153.94,353.62,519.7,27.4,417.5,0.265,0.304,200.0,1000.0,200.0-1000.0,-3.133,0.097923,-6.91E-05,2.42E-08,-2.50E-12,170.75,224.22,3.95442,1193.612,221.807,0.02,262.4,2,378.01
C6H12,cyclohexane,110-82-7,84.161,279.69,353.93,553.5,40.73,308,0.273,0.211,100.0,1000.0,100.0-1000.0,4.035,-0.004433,0.00016834,-2.08E-07,7.75E-11,106.1,156.2,3.93002,1182.774,220.618,0.06,282.11,2,378.46
C7H16,"2,2,3-trimethylbutane",464-06-2,100.204,248.15,354.01,531.1,29.5,397.6,0.266,0.25,200.0,1000.0,200.0-1000.0,-0.711,0.073562,-1.01E-05,-3.02E-08,1.58E-11,163.3,213.51,3.91555,1199.397,225.908,0.02,260.9,2,379.04
C4H8O2,propyl methanoate (propyl formate),110-74-7,88.106,180.25,354.69,538,40.6,285,0.259,0.32,,,,,,,,,110.1,178.1,3.97008,1132.3,204.08,0.02,268.9,2,377.68
C3H8O,2-propanol,67-63-0,60.096,183.65,355.39,508.3,47.62,220,0.248,0.665,50.0,1000.0,50.0-1000.0,3.334,0.018853,3.64E-05,-6.12E-08,2.54E-11,89.32,154.4,5.24268,1580.92,219.61,0.02,281.28,2,373.46
C4H10O,2-methyl-2-propanol (tert-butanol),75-65-0,74.123,298.55,355.49,506.21,39.73,275,0.26,0.613,50.0,1000.0,50.0-1000.0,2.611,0.036052,1.52E-05,-4.36E-08,1.95E-11,113.63,220.1,4.44484,1154.48,177.65,0.02,283,2,374.1
C7F16,hexadecafluoroheptane,335-57-9,388.052,195.15,355.59,475,16.5,664.3,0.248,0.561,298.0,1000.0,298.0-1000.0,6.079,0.048333,1.58E-06,-3.86E-08,1.95E-11,164.3,,,,,,,,
C6H10,cyclohexene,110-83-8,82.145,169.67,356.12,560.4,,296.88,,,50.0,1000.0,50.0-1000.0,3.874,-0.000909,0.00014902,-1.99E-07,8.01E-11,101.49,,,,,,,,
C2H4Cl2,"1,2-dichloroethane",107-06-2,98.959,237.46,356.66,561,54,220,0.255,,298.0,1000.0,298.0-1000.0,2.99,0.023197,-4.04E-06,-1.13E-08,6.17E-12,77.32,126.3,4.28356,1341.37,230.05,0.02,267.4,2,379.91
C4H4S,thiophene,110-02-1,84.142,233.75,357.31,580,56.6,219,0.252,,50.0,1000.0,50.0-1000.0,3.063,0.00152,9.51E-05,-1.41E-07,6.09E-11,72.78,123.88,4.08416,1246.02,221.35,0.02,267.2,2,381.16
C4H10O2,"1,2-dimethoxyethane",110-71-4,90.126,,358.15,537,,270.64,,,,,,,,,,,,,,,,,,,
C6HF5,pentafluorobenzene,363-72-4,168.066,225.85,358.89,530.97,35.37,324,0.26,0.374,200.0,1000.0,200.0-1000.0,1.197,0.072572,-7.37E-05,3.68E-08,-7.18E-12,143.02,,,,,,,,
C7H16,"3,3-dimethylpentane",562-49-2,100.204,138.25,359.19,536.3,29.5,414.1,0.274,0.269,200.0,1000.0,200.0-1000.0,-0.48,0.073415,-7.40E-06,-3.56E-08,1.82E-11,165.8,214.76,3.94912,1227.02,225.121,0.02,265.2,2,384.36
C6H15N,triethyl amine,121-44-8,101.192,158.45,362.9,535,30,390,0.263,,298.0,1000.0,298.0-1000.0,4.581,0.040089,5.79E-05,-1.00E-07,4.19E-11,161,,,,,,,,
C7H16,"2,3-dimethylpentane",565-59-3,100.204,82.6,362.91,537.3,29.1,393,0.256,0.297,200.0,1000.0,200.0-1000.0,-4.314,0.096708,-6.45E-05,2.23E-08,-3.13E-12,160.83,218.28,3.98066,1238.986,221.942,0.04,281.56,2,387.89
C7H16,2-methylhexane,591-76-4,100.204,154.89,363.18,530.1,27.3,421,0.261,0.331,200.0,1000.0,200.0-1000.0,3.452,0.046373,5.45E-05,-9.88E-08,4.09E-11,164.5,222.97,3.99739,1235.52,219.497,0.02,270.55,2,387.88
C3H6O3,dimethylcarbonate,616-38-6,90.084,,363.24,557,48,251.63,0.261,0.336,,,,,,,,,,,,,,,,,
C6H2F4,"1,2,4,5-tetrafluorobenzene",327-54-8,150.076,,363.5,543.35,37.99,,,0.357,200.0,1000.0,200.0-1000.0,0.007,0.069341,-6.19E-05,2.34E-08,-2.02E-12,131.21,,,,,,,,
C7H14,"trans-1,3-dimethylcyclopentane",1759-58-6,98.188,139.18,363.9,553,34,363.3,0.276,0.253,298.0,1000.0,298.0-1000.0,-2.522,0.060538,2.70E-05,-7.57E-08,3.36E-11,134.5,190.9,3.95279,1232.161,221.42,0.02,269.74,2,389.15
C7H14,"cis-1,3-dimethylcyclopentane",2532-58-3,98.188,139.45,364.71,551,34,363.3,0.277,0.276,298.0,1000.0,298.0-1000.0,-2.522,0.060538,2.70E-05,-7.57E-08,3.36E-11,134.5,190,4.00405,1259.821,223.53,0.02,270.52,2,389.83
C7H16,3-methylhexane,589-34-4,100.204,149.35,365,535.2,28.1,404,0.255,0.323,,,,,,,,,163.6,221.25,3.99571,1242.018,219.435,0.02,271.9,2,389.82
C4H10S,3-thiapentane (diethyl sulfide),352-93-2,90.189,169.22,365.25,557,39.6,318,0.269,0.295,273.0,1000.0,273.0-1000.0,4.335,0.026082,3.96E-05,-6.88E-08,2.90E-11,116.57,171.5,4.05326,1257.833,218.662,0.02,273.1,2,389.71
C5H10O2,methyl 2-methylpropanoate,547-63-7,102.133,188.45,365.45,540.8,34.3,339,0.259,,,,,,,,,,132,191,,,,,,,
C7H16,3-ethylpentane,617-78-7,100.204,154.57,366.63,540.5,28.9,415.8,0.267,0.311,200.0,1000.0,200.0-1000.0,7.598,0.019547,0.00011641,-1.61E-07,6.38E-11,166,219.58,4.00449,1254.055,220.136,0.02,272.9,2,391.62
C7H14,1-heptene,592-76-7,98.188,153.45,366.79,537.3,29.2,409,0.267,0.343,200.0,1000.0,200.0-1000.0,7.52,0.012824,0.0001267,-1.76E-07,7.04E-11,153.46,211.8,4.02677,1258.34,219.3,0.02,273.62,2,391.59
C2Br2ClF3,"1,2-dibromo-2-chloro-1,1,2-trifluroethane",354-51-8,276.278,323.15,367.06,561.2,36.1,357.8,0.285,0.251,,,,,,,,,,,3.84523,1166.348,209.87,0.02,272.65,2,392.37
C6H12O,butylvinylether,111-34-2,100.163,,367.13,540.5,32,383.62,0.273,0.358,,,,,,,,,,,,,,,,,
C5H10O,3-methyl-2-butanone (methyl isopropyl ketone),563-80-4,86.134,181.15,367.55,567.7,36.2,310,0.238,0.216,,,,,,,,,124.1,180.1,3.46583,955.43,181.73,0.02,276.4,2,393.31
C3H3NO,"1,2-oxazole(isoxazole)",288-14-2,55.058,,368.61,590,61,190.94,0.237,0.258,50.0,1000.0,50.0-1000.0,3.911,-0.009705,0.0001038,-1.35E-07,5.36E-11,59.01,96.48,,,,,,,
C3H6Cl2,"1,2-dichloropropane",78-87-5,112.187,172.65,369.43,578,46.5,287.66,0.278,0.255,298.0,1000.0,298.0-1000.0,1.697,0.040582,-2.25E-05,-3.80E-10,3.77E-12,98.27,,,,,,,,
C3H6O,2-propen-1-ol (allyl alcohol),107-18-6,58.08,,370.23,545.1,,,,,298.0,1000.0,298.0-1000.0,0.248,0.034938,-1.69E-05,-1.92E-09,3.24E-12,76.01,138.9,8.78252,4510.213,416.797,0.03,294,1,370.23
C3H8O,1-propanol,71-23-8,60.096,147,370.93,536.78,51.75,219,0.254,0.629,50.0,1000.0,50.0-1000.0,4.712,0.006565,6.31E-05,-8.34E-08,3.22E-11,85.56,143.73,4.99991,1512.94,205.807,0.02,293.19,2,389.32
C5H10O2,2-methylpropyl methanoate (isobutyl formate),542-55-2,102.133,177.35,371.22,551,38.8,352,0.298,0.4,,,,,,,,,136.6,217,3.9845,1195.9,202.5,0.03,288,2,395.32
C7H16,heptane,142-82-5,100.204,182.59,371.57,540.2,27.4,428,0.261,0.35,200.0,1000.0,200.0-1000.0,9.634,0.004156,0.00015494,-2.01E-07,7.77E-11,165.2,224.98,4.02023,1263.909,216.432,0.02,277.71,2,396.53
C5H10O2,ethyl propanoate,105-37-3,102.133,199.25,372.18,546,33.6,345,0.255,0.39,,,,,,,,,131.9,197.6,4.144,1274.7,209,0.02,282.4,2,395.85
C8H18,"2,2,4-trimethylpentane (isooctane)",540-84-1,114.231,165.8,372.39,543.9,25.7,469.7,0.266,0.304,200.0,1000.0,200.0-1000.0,0.384,0.077059,6.65E-06,-5.57E-08,2.62E-11,188.41,238.55,3.93646,1257.85,220.767,0.02,275.5,2,398.38
C4H10O,2-butanol (sec-butanol),78-92-2,74.123,158.5,372.66,536.05,41.79,269,0.252,0.574,50.0,1000.0,50.0-1000.0,3.86,0.028561,2.73E-05,-5.14E-08,2.12E-11,112.74,199,,,,,,,
H2O,water,7732-18-5,18.015,273.15,373.15,647.14,220.64,55.95,0.229,0.344,50.0,1000.0,50.0-1000.0,4.395,-0.004186,1.41E-05,-1.56E-08,6.32E-12,33.58,75.29,5.11564,1687.537,230.17,0.01,273.2,16,473.2
CH2O2,methanoic acid ,64-18-6,46.026,281.5,374.04,588,58.07,,,0.316,50.0,1000.0,50.0-1000.0,3.809,0.001568,3.59E-05,-4.41E-08,1.67E-11,53.45,99.17,,,,,,,
C7H14,methylcyclohexane,108-87-2,98.188,146.56,374.09,572.19,34.71,368,0.268,0.235,50.0,1000.0,50.0-1000.0,3.148,0.018438,0.00013624,-1.88E-07,7.36E-11,135.8,184.5,3.98232,1290.968,223.701,0.02,276.68,2,400.13
