formula,compounds,cas,molar_weigth,tfp_k,Tb(K),Tc(K),Pc(bar),Vc(cm3/mol),zc,omega,tmin_K,tmax_K,cp_trange,cp_a0,cp_a1,cp_a2,cp_a3,cp_a4,cpig,cpliq,antoine_a,antoine_b,antoine_c,pvpmin_bar,tmin_k,pvpmax_bar,tmax_k
CH3Cl,chloromethane,74-87-3,50.488,175.44,248.95,416.2,66.8,143,0.276,0.151,200.0,1000.0,200.0-1000.0,3.578,-0.00175,3.07E-05,-3.71E-08,1.41E-11,40.74,81.84,4.16533,920.86,245.58,0.02,184.6,2,265.87
C2H4F2,"1,1-difluoroethane (R-152a)",75-37-6,66.051,156.15,249.1,386.41,45.16,181,0.252,0.276,50.0,1000.0,50.0-1000.0,3.292,0.011749,2.84E-05,-4.65E-08,1.94E-11,68.49,118,3.75231,735.16,220.27,0.02,187.74,2,265.89
C3H4,1-propyne (methyl acetylene),74-99-7,40.065,170.5,250.12,402.4,56.3,163.5,0.275,,50.0,1000.0,50.0-1000.0,3.158,0.01221,1.17E-05,-2.32E-08,1.00E-11,60.73,,4.24555,935.09,243.58,0.02,186.87,2,266.63
F2HN,difluoroamine,10405-27-3,53.012,157.15,250.15,403,63,97,0.182,,,,,,,,,,,,,,,,,,
C2H2F4,"1,1,2,2-tetrafluoroethane (R-134)",359-35-3,102.032,184.15,253.1,391.74,46.4,190.4,0.271,0.293,50.0,1000.0,50.0-1000.0,3.084,0.032841,-2.43E-05,4.88E-09,1.62E-12,90.32,,4.12013,885.597,235.9,0.02,190.05,2,269.75
C3H3F5,"1,1,1,2,2-pentafluoropropane (R-245cb)",1814-88-6,134.05,,255.1,380.4,31.48,268.74,0.267,0.297,,,,,,,,,,,,,,,,,
CHBrF2,bromodifluoromethane,1511-62-2,130.92,258.65,257.68,412,47.9,167,0.234,0.172,100.0,1000.0,100.0-1000.0,3.254,0.013871,-7.00E-07,-1.13E-08,6.06E-12,58.76,,3.4003,640.32,204.1,0.02,194.5,2,275.65
ClF5,chlorine pentafluoride,13637-63-3,130.445,171.15,259.28,416,53,230.4,,,,,,,,,,,,,3.39423,653.06,206.6,0.02,194.8,2,277.68
C2HClF4,"1-chloro-1,2,2,2-tetrafluoroethane (R-124)",2837-89-0,136.476,155,261.19,395.6,36.34,243.8,0.269,0.288,50.0,1000.0,50.0-1000.0,3.022,0.035834,-1.74E-05,-1.21E-08,9.94E-12,99.06,,4.0536,900.49,234.389,0.14,222,2.59,286
C4H10,isobutane,75-28-5,58.123,113.54,261.34,407.85,36.4,262.7,0.278,0.186,50.0,1000.0,50.0-1000.0,3.351,0.017883,5.48E-05,-8.10E-08,3.24E-11,96.65,142.5,4.00272,947.54,248.87,0.02,190.4,2,280.25
C2HClF4,"1-chloro-1,1,2,2-tetrafluoroethane",354-25-6,136.476,156.15,261.38,400,37.6,244,0.285,0.26,50.0,1000.0,50.0-1000.0,2.888,0.03836,-2.47E-05,-3.97E-09,6.77E-12,100.4,,4.2571,1006.84,248.6,0.02,193.6,2,279.06
O2S,sulfur dioxide,9/5/7446,64.065,197.67,263.13,430.8,78.84,122,0.269,,50.0,1000.0,50.0-1000.0,4.417,-0.002234,2.34E-05,-3.27E-08,1.39E-11,40.05,,4.4072,999.9,237.19,0.02,199.71,2,279.47
C2H3ClF2,"1-chloro-1,1-difluoroethane",75-68-3,100.495,142.35,264.05,410.3,40.48,231,0.267,0.231,50.0,1000.0,50.0-1000.0,2.338,0.029791,-1.05E-05,-1.34E-08,9.27E-12,83.26,130,4.05053,928.645,238.69,0.02,195.98,2,282.13
C4H8,2-methylpropene,115-11-7,56.108,132.81,266.24,417.9,40,238.8,0.275,0.199,50.0,1000.0,50.0-1000.0,3.231,0.020949,2.31E-05,-3.95E-08,1.57E-11,88.09,,3.80956,866.25,234.64,0.02,195.77,2,285.41
CH5N,methanamine,74-89-5,31.057,179.69,266.82,430,74.2,125,0.259,0.283,50.0,1000.0,50.0-1000.0,4.193,-0.002122,4.04E-05,-4.74E-08,1.75E-11,50.05,102.09,4.5442,1050.66,237.83,0.02,203.61,2,282.93
C4H8,1-butene,106-98-9,56.108,87.79,266.92,419.5,40.2,240.8,0.278,0.194,50.0,1000.0,50.0-1000.0,4.389,0.007984,6.14E-05,-8.20E-08,3.17E-11,85.56,124.9,3.9178,,238.54,0.02,196.41,2,285.88
C4F8,octafluorocyclobutane,115-25-3,200.031,232.96,267.17,388.37,27.78,324.8,0.279,,298.0,1000.0,298.0-1000.0,0.949,0.080942,-7.98E-05,2.97E-08,-8.70E-13,79.48,,,,,,,,
ClNO,nitrogen oxychloride,2696-92-6,65.459,213.55,267.77,440.6,91.2,,,,,,,,,,,,,,4.48644,1094.73,249.7,0.04,209.4,2,285.01
